Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rdp,Rdrs,Rdrs/yr,Rpm,Rdp_1,Rgood,Rair,Rrange,Rthrow,RF/9,RF/G,Season
131,Ramon Torres\torrera01,24,KCR,AL,3,0,0,8,7,1,6,0,1,1,1,75,1,0,-1,-150,-1,0,0,0,0,0,7.88,2.33,2017
132,Ronald Torreyes\torrero01,24,NYY,AL,36,26,16,221,91,28,62,1,12,0.989,-1,-5,0,-1,-2,-11,0,-1,-1,1,0,-1,3.67,2.5,2017
133,Troy Tulowitzki\tulowtr01,32,TOR,AL,64,64,56,562,264,68,188,8,41,0.97,5,12,5,0,7,15,6,1,0,0,6,1,4.1,4,2017
134,Trea Turner\turnetr01,24,WSN,NL,95,95,94,846.2,376,134,234,8,57,0.979,-9,-13,-8,-1,2,3,2,-1,1,0,8,-6,3.91,3.87,2017
135,Richard Urena\urenari01,21,TOR,AL,20,16,15,160.2,78,34,42,2,12,0.974,-3,-19,-3,0,-5,-37,-5,0,0,0,-4,0,4.26,3.8,2017
136,Gio Urshela\urshegi01,25,CLE,AL,5,1,1,20,10,2,8,0,2,1,0,24,0,0,1,60,1,0,0,0,1,0,4.5,2,2017
137,Pat Valaika\valaipa01,24,COL,NL,22,16,10,133.2,61,13,47,1,10,0.984,3,22,3,0,0,0,0,0,0,-1,0,1,4.04,2.73,2017
138,Zach Vincej\vinceza01,26,CIN,NL,3,1,1,15,6,2,4,0,0,1,1,72,1,NA,0,0,0,0,0,0,0,0,3.6,2,2017
139,Tyler Wade\wadety01,22,NYY,AL,7,1,1,20,6,3,3,0,0,1,0,-24,0,0,0,0,0,0,0,0,0,-1,2.7,0.86,2017
140,Ben Zobrist\zobribe01,36,CHC,NL,5,0,0,11,4,2,2,0,1,1,-1,-55,-1,0,0,0,0,0,0,0,0,0,3.27,0.8,2017
NA,LgAvg,NA,NA,NA,19,18,16,156,74,24,48,2,11,0.974,0,0,0,0,0,0,0,0,0,0,0,0,4.13,3.72,2017
1,Willy Adames\adamewi01,22,TBR,AL,75,72,66,628.2,246,72,161,13,38,0.947,0,0,-1,1,-8,-15,-10,1,1,0,-9,-1,3.34,3.11,2018
2,Ehire Adrianza\adriaeh01,28,MIN,AL,64,60,55,534,206,61,138,7,30,0.966,-9,-19,-7,-2,-4,-9,-4,0,0,0,-3,0,3.35,3.11,2018
3,Nick Ahmed\ahmedni01,28,ARI,NL,148,135,133,1239.2,606,165,432,9,98,0.985,22,21,19,3,28,27,23,2,3,-1,9,15,4.33,4.03,2018
4,Hanser Alberto\alberha01,25,TEX,AL,5,3,2,30,18,7,10,1,3,0.944,0,-4,0,0,0,0,0,0,0,0,-1,0,5.1,3.4,2018
5,Tim Anderson\anderti01,25,CHW,AL,151,151,144,1329.1,600,188,392,20,72,0.967,1,1,4,-3,12,11,14,-1,-1,-1,10,5,3.93,3.84,2018
6,Elvis Andrus\andruel01,29,TEX,AL,97,96,87,832.2,413,139,263,11,77,0.973,1,2,-3,4,3,4,-3,3,3,0,-6,3,4.35,4.14,2018
7,Orlando Arcia\arciaor01,23,MIL,NL,116,92,77,852.1,412,154,243,15,57,0.964,11,15,9,2,7,10,9,0,-2,2,2,5,4.19,3.42,2018
8,Abiatal Avelino\aveliab01,23,SFG,NL,3,2,1,19,9,3,6,0,0,1,0,25,0,NA,1,63,1,0,0,0,0,0,4.26,3,2018
9,Javier Baez\baezja01,25,CHC,NL,65,52,32,462.2,230,67,155,8,29,0.965,-4,-11,-4,0,4,10,2,1,1,1,1,0,4.32,3.42,2018
10,Franklin Barreto\barrefr02,22,OAK,AL,2,1,1,16,6,3,3,0,0,1,0,-15,0,NA,0,0,0,0,0,0,0,0,3.38,3,2018
11,Gordon Beckham\beckhgo01,31,SEA,AL,2,1,1,11,11,3,8,0,1,1,1,142,1,0,1,109,1,0,0,0,0,1,9,5.5,2018
12,Tim Beckham\beckhti01,28,BAL,AL,49,46,45,404.2,206,80,114,12,31,0.942,-4,-11,-4,0,-4,-12,-4,0,0,-1,-1,-2,4.31,3.96,2018
13,Alex Blandino\blandal01,25,CIN,NL,11,6,3,60.2,34,12,20,2,8,0.941,1,24,1,0,-1,-20,0,0,-1,0,1,-1,4.75,2.91,2018
14,Xander Bogaerts\bogaexa01,25,BOS,AL,136,134,122,1183.1,509,163,336,10,65,0.98,-4,-4,-4,0,-8,-8,-8,-2,2,0,-9,1,3.8,3.67,2018
15,David Bote\boteda01,25,CHC,NL,2,1,1,10,5,2,3,0,1,1,-1,-60,-1,0,0,0,0,0,0,0,0,0,4.5,2.5,2018
16,Alex Bregman\bregmal01,24,HOU,AL,28,23,18,217.1,83,22,58,3,10,0.964,0,1,0,0,0,0,0,0,0,1,2,-3,3.31,2.86,2018
17,Asdrubal Cabrera\cabreas01,32,PHI,NL,31,25,14,204.1,80,20,59,1,18,0.988,0,0,0,0,-6,-35,-6,1,-1,0,-6,0,3.48,2.55,2018
18,Johan Camargo\camarjo01,24,ATL,NL,18,15,13,140.1,62,25,35,2,13,0.968,-2,-15,-3,1,1,9,0,1,0,0,3,-3,3.85,3.33,2018
19,Daniel Castro\castrda01,25,COL,NL,1,0,0,1,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,2018
20,Harold Castro\castrha01,24,DET,AL,4,1,0,12.1,8,3,5,0,1,1,1,68,1,0,0,0,0,0,0,0,0,0,5.84,2,2018
21,Carlos Correa\correca01,23,HOU,AL,109,109,102,959,380,106,268,6,43,0.984,15,18,16,-1,11,14,12,0,-1,0,4,8,3.51,3.43,2018
22,Kaleb Cowart\cowarka01,26,LAA,AL,5,2,2,27.1,11,4,7,0,2,1,-1,-40,-1,0,0,0,0,0,0,0,0,0,3.62,2.2,2018
23,Zack Cozart\cozarza01,32,LAA,AL,15,11,10,107,48,17,30,1,8,0.979,-3,-28,-3,0,-1,-11,-1,0,0,0,0,-1,3.95,3.13,2018
24,Brandon Crawford\crawfbr01,31,SFG,NL,146,141,132,1259,643,192,435,16,105,0.975,1,1,-1,2,-4,-4,-8,0,4,1,-9,0,4.48,4.29,2018
25,J.P. Crawford\crawfjp01,23,PHI,NL,30,27,18,229.2,116,36,72,8,18,0.931,0,1,-1,1,-3,-16,-3,0,0,0,1,-4,4.23,3.6,2018
26,Charlie Culberson\culbech01,29,ATL,NL,20,15,13,150.2,49,21,26,2,4,0.959,-2,-18,-1,-1,-3,-24,-3,0,0,0,-2,0,2.81,2.35,2018
27,Chase d'Arnaud\darnach01,31,SFG,NL,1,0,0,1,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,2018
28,Paul DeJong\dejonpa01,24,STL,NL,114,111,110,1005.1,454,153,289,12,64,0.974,0,0,0,0,6,7,6,-1,1,3,7,-3,3.96,3.88,2018
29,Ian Desmond\desmoia01,32,COL,NL,3,1,0,9,1,0,1,0,0,1,0,-40,0,0,0,0,0,0,0,0,0,0,1,0.33,2018
30,Aledmys Díaz\diazal02,27,TOR,AL,95,90,78,800,352,124,221,7,55,0.98,-4,-6,-4,0,-4,-6,-4,1,-1,0,-3,-1,3.88,3.63,2018
31,Wilmer Difo\difowi01,26,WSN,NL,9,4,3,45,22,10,12,0,3,1,-2,-40,-2,0,-2,-53,-1,0,-1,0,-1,0,4.4,2.44,2018
32,Brandon Drury\drurybr01,25,TOR,AL,1,1,0,7,3,1,2,0,1,1,0,69,0,0,0,0,0,0,0,0,0,0,3.86,3,2018
33,Matt Duffy\duffyma01,27,TBR,AL,1,0,0,0.1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,2018
34,Alcides Escobar\escobal02,31,KCR,AL,104,104,97,905.1,381,129,243,9,49,0.976,-15,-20,-13,-2,-21,-28,-20,0,-1,-1,-16,-3,3.7,3.58,2018
35,Eduardo Escobar\escobed01,29,MIN,AL,21,20,19,185.2,70,26,43,1,10,0.986,-5,-33,-5,0,-8,-52,-6,-1,-1,0,-4,-2,3.34,3.29,2018
36,David Fletcher\fletcda02,24,LAA,AL,7,3,3,34,10,2,8,0,2,1,-3,-99,-3,0,-2,-71,-2,0,0,0,1,-3,2.65,1.43,2018
37,Pedro Florimon\floripe01,31,PHI,NL,21,8,7,104,56,18,36,2,11,0.964,1,9,0,1,-4,-46,-4,0,0,0,-4,0,4.67,2.57,2018
38,Nolan Fontana\fontano01,27,LAA,AL,2,1,1,14.1,7,3,3,1,2,0.857,-2,-134,-2,0,1,84,0,0,1,0,1,-1,3.77,3,2018
39,Freddy Galvis\galvifr01,28,SDP,NL,160,157,150,1401,630,222,399,9,80,0.986,-1,-1,0,-1,2,2,4,-3,1,-1,2,3,3.99,3.88,2018
40,Greg Garcia\garcigr01,28,STL,NL,17,13,8,114,52,16,34,2,12,0.962,2,20,1,1,0,0,-1,1,0,0,1,-2,3.95,2.94,2018
41,Leury Garcia\garcile02,27,CHW,AL,5,3,3,29,16,2,14,0,2,1,2,62,2,0,0,0,0,0,0,0,0,0,4.97,3.2,2018
42,Ryan Goins\goinsry01,30,KCR,AL,4,0,0,8,1,0,1,0,0,1,-1,-150,-1,NA,0,0,0,0,0,0,0,0,1.13,0.25,2018
43,Erik Gonzalez\gonzaer01,26,CLE,AL,16,5,5,67,28,8,20,0,4,1,1,9,1,0,1,18,1,0,0,0,1,0,3.76,1.75,2018
44,Marwin Gonzalez\gonzama01,29,HOU,AL,39,29,25,269.2,98,27,65,6,14,0.939,-2,-8,-1,-1,-7,-31,-7,0,0,0,0,-7,3.07,2.36,2018
45,Niko Goodrum\goodrni01,26,DET,AL,12,10,6,75.2,27,9,16,2,4,0.926,-1,-17,-1,0,-2,-32,-2,0,0,0,0,-1,2.97,2.08,2018
46,Didi Gregorius\gregodi01,28,NYY,AL,132,130,121,1149.1,475,160,309,6,54,0.987,4,4,4,0,2,2,3,-1,0,1,9,-7,3.67,3.55,2018
47,Javy Guerra\guerrja02,22,SDP,NL,7,5,2,44,25,12,11,2,3,0.92,-2,-63,-2,0,0,0,-1,0,1,1,-2,0,4.7,3.29,2018
48,Lourdes Gurriel Jr.\gurrilo01,24,TOR,AL,46,40,36,351.1,155,43,105,7,20,0.955,-8,-26,-6,-2,-8,-27,-10,-1,3,0,-5,-5,3.79,3.22,2018
49,Yuli Gurriel\gourryu01,34,HOU,AL,2,1,1,9,4,1,3,0,1,1,0,53,0,NA,0,0,0,0,0,0,0,0,4,2,2018
50,Jedd Gyorko\gyorkje01,29,STL,NL,5,4,2,31,11,5,4,2,0,0.818,-1,-50,-1,0,-1,-39,-1,0,0,1,0,-2,2.61,1.8,2018
51,Garrett Hampson\hampsga01,23,COL,NL,8,5,4,49.1,16,1,14,1,1,0.938,1,29,1,0,0,0,0,0,0,0,0,1,2.74,1.88,2018
52,Alen Hanson\hansoal01,25,SFG,NL,16,12,9,105.1,49,16,33,0,6,1,1,7,1,0,0,0,0,0,0,0,1,-1,4.19,3.06,2018
53,Adeiny Hechavarria\hechaad01,29,TOT,MLB,92,80,67,717.1,272,83,185,4,40,0.985,4,6,4,0,1,1,-3,1,3,0,-2,-1,3.36,2.91,2018
54,Adeiny Hechavarria\hechaad01,29,TOT,MLB,77,68,58,604.1,234,67,164,3,33,0.987,3,7,3,0,1,1,-3,1,3,0,-2,-1,3.44,3,2018
55,Adeiny Hechavarria\hechaad01,29,TBR,AL,61,57,53,512.1,194,51,141,2,28,0.99,4,8,4,0,1,2,-2,1,2,0,0,-2,3.37,3.15,2018
56,Adeiny Hechavarria\hechaad01,29,PIT,NL,15,12,9,113,38,16,21,1,7,0.974,0,2,0,0,0,0,0,0,0,0,-1,1,2.95,2.47,2018
57,Adeiny Hechavarria\hechaad01,29,NYY,AL,16,11,5,92,40,16,23,1,5,0.975,0,-4,0,0,0,0,-1,0,1,0,-1,0,3.82,2.44,2018
58,Enrique Hernandez\hernaen02,26,LAD,NL,22,17,13,159,60,26,33,1,11,0.983,-4,-26,-4,0,0,0,1,-1,0,0,1,0,3.34,2.68,2018
59,Brock Holt\holtbr01,30,BOS,AL,23,19,12,153,55,18,36,1,3,0.982,-2,-13,-1,-1,-1,-8,0,-1,0,0,-1,1,3.18,2.35,2018
60,José Iglesias\iglesjo01,28,DET,AL,122,120,116,1055.1,472,148,316,8,63,0.983,9,10,8,1,0,0,0,1,-1,0,-1,1,3.96,3.8,2018
61,Isiah Kiner-Falefa\kineris01,23,TEX,AL,2,2,2,17,13,6,6,1,3,0.923,0,14,0,0,1,71,1,0,0,0,1,0,6.35,6,2018
62,Scott Kingery\kingesc01,24,PHI,NL,119,101,83,887,358,98,251,9,45,0.975,-5,-6,-4,-1,1,1,0,0,1,-1,2,-2,3.54,2.93,2018
63,Pete Kozma\kozmape01,30,DET,AL,15,12,9,105,53,18,35,0,7,1,4,42,4,0,1,11,1,0,0,0,-1,2,4.54,3.53,2018
64,Tzu-Wei Lin\lintz02,24,BOS,AL,23,9,9,122.1,58,18,37,3,8,0.948,-1,-8,-1,0,-4,-39,-4,0,0,0,-2,-1,4.05,2.39,2018
65,Francisco Lindor\lindofr01,24,CLE,AL,157,157,145,1386.1,586,189,383,14,82,0.976,1,1,0,1,6,5,5,0,1,0,3,1,3.71,3.64,2018
66,Manny Machado\machama01,25,TOT,MLB,147,145,130,1261.1,563,194,357,12,73,0.979,-13,-12,-10,-3,-10,-9,-8,-2,0,0,-6,-3,3.93,3.75,2018
67,Manny Machado\machama01,25,BAL,AL,96,96,87,837,396,141,247,8,54,0.98,-12,-18,-10,-2,-10,-14,-10,-1,1,-1,-7,-2,4.17,4.04,2018
68,Manny Machado\machama01,25,LAD,NL,51,49,43,424.1,167,53,110,4,19,0.976,0,-1,1,-1,0,0,2,-1,-1,1,1,-1,3.46,3.2,2018
69,Ketel Marte\marteke01,24,ARI,NL,28,27,14,222.1,102,21,78,3,15,0.971,4,22,4,0,-2,-11,-1,-1,0,-1,0,0,4.01,3.54,2018
70,Russell Martin\martiru01,35,TOR,AL,3,1,1,10,2,1,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,1.8,0.67,2018
71,Jordy Mercer\mercejo03,31,PIT,NL,117,116,104,995.2,434,151,273,10,50,0.977,-4,-5,-1,-3,-5,-6,-3,-2,0,0,-5,3,3.83,3.62,2018
72,Brad Miller\millebr02,28,MIL,NL,6,5,1,34,13,6,4,3,1,0.769,-2,-56,-2,0,-1,-35,-1,0,0,0,-1,0,2.65,1.67,2018
73,Adalberto Mondesi\mondera02,22,KCR,AL,61,58,58,518.2,276,100,169,7,36,0.975,-7,-16,-6,-1,-6,-14,-6,-1,1,-1,-4,-1,4.67,4.41,2018
74,Max Moroff\morofma01,25,PIT,NL,6,3,3,34.1,14,4,10,0,3,1,1,21,1,0,0,0,0,0,0,0,0,0,3.67,2.33,2018
75,Taylor Motter\motteta01,28,MIN,AL,1,1,1,9,5,1,4,0,0,1,1,67,1,NA,0,0,0,0,0,0,0,0,5,5,2018
76,Yairo Munoz\munozya01,23,STL,NL,40,34,29,305,130,49,73,8,24,0.938,-4,-17,-4,0,-5,-20,-3,-1,-1,1,-1,-3,3.6,3.05,2018
77,Kristopher Negron\negrokr01,32,SEA,AL,2,0,0,9,6,2,4,0,1,1,0,-13,0,NA,0,0,0,0,0,0,0,0,6,3,2018
78,Kevin Newman\newmake01,24,PIT,NL,24,19,18,182.2,68,25,40,3,9,0.956,-2,-13,-2,0,-4,-26,-4,0,0,0,0,-4,3.2,2.71,2018
79,Gift Ngoepe\ngoepgi01,28,TOR,AL,6,2,1,23,16,5,11,0,5,1,2,78,1,1,0,0,0,0,0,0,1,0,6.26,2.67,2018
80,Nate Orf\orfna01,28,MIL,NL,2,1,0,12,4,2,2,0,1,1,1,50,1,0,0,0,0,0,0,0,0,0,3,2,2018
81,Cliff Pennington\pennicl01,34,CIN,NL,5,1,1,19,3,1,2,0,1,1,-1,-32,-1,0,0,0,0,0,0,0,0,0,1.42,0.6,2018
82,Jose Peraza\perazjo01,24,CIN,NL,156,152,138,1329,586,161,403,22,85,0.962,-13,-11,-10,-3,-3,-3,-2,0,-1,0,-11,8,3.82,3.62,2018
83,Hernan Perez\perezhe01,27,MIL,NL,20,15,4,132.2,53,18,33,2,11,0.962,-1,-11,-1,0,1,9,1,0,0,1,1,-2,3.46,2.55,2018
84,Jace Peterson\peterja01,28,BAL,AL,3,1,1,16,7,3,4,0,2,1,-1,-68,-1,0,-1,-75,-1,0,0,0,1,-1,3.94,2.33,2018
85,Gregorio Petit\petitgr01,33,MIN,AL,9,5,4,50.1,26,11,13,2,4,0.923,1,14,0,1,-1,-24,-1,0,0,0,0,-1,4.29,2.67,2018
86,Chad Pinder\pindech01,26,OAK,AL,3,3,2,26,14,3,9,2,1,0.857,-1,-32,-1,0,-1,-46,-1,0,0,0,-1,0,4.15,4,2018
87,Jorge Polanco\polanjo01,24,MIN,AL,76,76,74,664.1,275,90,172,13,42,0.953,-2,-3,-1,-1,-8,-14,-3,-1,-4,-1,0,-2,3.55,3.45,2018
88,Jurickson Profar\profaju01,25,TEX,AL,68,61,60,544.2,218,57,148,13,29,0.94,-10,-21,-9,-1,-8,-18,-2,-2,-4,-1,5,-6,3.39,3.01,2018
89,Roman Quinn\quinnro01,25,PHI,NL,1,0,0,1.1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,2018
90,Jack Reinheimer\reinhja01,25,NYM,NL,3,2,2,19,7,1,6,0,1,1,1,69,1,0,0,0,0,0,0,0,0,0,3.32,2.33,2018
91,Jose Reyes\reyesjo01,35,NYM,NL,25,19,14,170,66,15,48,3,6,0.955,-2,-12,-2,0,-2,-14,-2,0,0,0,-2,-1,3.34,2.52,2018
92,JT Riddle\riddljt01,26,MIA,NL,95,75,69,691.1,348,115,227,6,47,0.983,6,11,6,0,10,17,10,-1,1,0,5,5,4.45,3.6,2018
93,Yadiel Rivera\riverya01,26,MIA,NL,28,8,5,93.1,53,16,33,4,8,0.925,5,59,4,1,3,39,3,0,0,0,2,1,4.73,1.75,2018
94,Daniel Robertson\roberda10,24,TBR,AL,29,25,23,230,88,14,68,6,9,0.932,-1,-6,0,-1,-1,-5,1,-1,-1,-1,4,-2,3.21,2.83,2018
95,Drew Robinson\robindr01,26,TEX,AL,1,0,0,6.2,2,0,1,1,0,0.5,-1,-144,-1,0,-1,-180,-1,0,0,0,-1,0,1.35,1,2018
96,Ronny Rodriguez\rodriro03,26,DET,AL,24,19,17,177,76,25,45,6,5,0.921,-2,-16,-1,-1,-6,-41,-6,0,0,0,-4,-2,3.56,2.92,2018
97,Sean Rodriguez\rodrise01,33,PIT,NL,16,11,10,108.1,54,15,36,3,9,0.944,0,3,-1,1,0,0,0,0,0,0,2,-1,4.24,3.19,2018
98,Miguel Rojas\rojasmi02,29,MIA,NL,83,78,42,657.1,320,123,195,2,31,0.994,3,6,3,0,3,5,2,0,1,0,0,2,4.35,3.83,2018
99,Andrew Romine\rominan01,32,SEA,AL,18,10,10,103,46,18,27,1,7,0.978,0,0,0,0,0,0,0,0,0,0,0,0,3.93,2.5,2018
100,Jose Rondon\rondojo02,24,CHW,AL,10,6,5,58.2,23,6,17,0,5,1,-1,-16,-1,0,-1,-20,-1,0,0,-1,-1,0,3.53,2.3,2018
101,Adam Rosales\rosalad01,35,CLE,AL,2,0,0,4,1,1,0,0,0,1,-1,-300,-1,NA,0,0,0,0,0,0,0,0,2.25,0.5,2018
102,Amed Rosario\rosaram01,22,NYM,NL,146,141,134,1271.2,508,160,332,16,58,0.969,-6,-6,-4,-2,-9,-8,-4,-2,-3,-1,-3,0,3.48,3.37,2018
103,Addison Russell\russead02,24,CHC,NL,129,110,97,1003.2,488,157,314,17,66,0.965,6,7,6,0,16,19,18,0,-2,2,14,2,4.22,3.65,2018
104,Tyler Saladino\saladty01,28,MIL,NL,28,25,23,222.2,113,38,68,7,13,0.938,2,12,1,1,2,11,2,1,-1,0,-1,2,4.28,3.79,2018
105,Yolmer Sanchez\sanchca01,26,CHW,AL,4,2,2,20,7,2,4,1,1,0.857,-1,-48,-1,0,-2,-120,-2,0,0,0,-2,0,2.7,1.5,2018
106,Jonathan Schoop\schoojo01,26,TOT,MLB,17,11,3,74.1,40,14,25,1,5,0.975,1,8,1,0,-1,-16,0,0,-1,0,-1,1,4.72,2.29,2018
107,Jonathan Schoop\schoojo01,26,BAL,AL,2,0,0,3,2,1,1,0,1,1,0,-80,0,0,0,0,0,0,0,0,0,0,6,1,2018
108,Jonathan Schoop\schoojo01,26,MIL,NL,15,11,3,71.1,38,13,24,1,4,0.974,1,12,1,0,-1,-17,0,0,-1,0,-1,1,4.67,2.47,2018
109,Corey Seager\seageco01,24,LAD,NL,25,24,22,221.1,93,26,64,3,11,0.968,2,8,1,1,-1,-5,-1,0,0,-1,0,-1,3.66,3.6,2018
110,Jean Segura\segurje01,28,SEA,AL,144,144,133,1260.2,545,141,387,17,68,0.969,11,10,9,2,-2,-2,-3,3,-2,-3,-8,8,3.77,3.67,2018
111,Marcus Semien\semiema01,27,OAK,AL,159,158,157,1423.2,676,198,458,20,79,0.97,7,6,6,1,11,9,11,1,-1,0,12,-2,4.15,4.13,2018
112,Andrelton Simmons\simmoan01,28,LAA,AL,145,145,134,1254.2,610,228,372,10,114,0.984,3,3,-4,7,17,16,10,6,1,1,6,3,4.3,4.14,2018
113,Eric Sogard\sogarer01,32,MIL,NL,24,14,8,136,53,13,39,1,8,0.981,2,15,2,0,-1,-9,-1,0,0,0,-1,0,3.44,2.17,2018
114,Yangervis Solarte\solarya01,30,TOR,AL,7,5,4,42,21,7,14,0,3,1,0,-6,0,0,0,0,0,0,0,0,0,1,4.5,3,2018
115,Cory Spangenberg\spangco01,27,SDP,NL,1,0,0,2,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,2018
116,Trevor Story\storytr01,25,COL,NL,156,156,147,1372.2,626,197,416,13,92,0.979,3,3,3,0,7,6,5,1,1,-2,12,-5,4.02,3.93,2018
117,Dee Strange-Gordon\gordode01,30,SEA,AL,8,7,7,65,30,10,20,0,3,1,1,11,1,0,0,0,1,-1,0,0,-1,2,4.15,3.75,2018
118,Eugenio Suarez\suareeu01,26,CIN,NL,3,1,0,11,5,2,3,0,0,1,0,-11,0,0,-1,-109,-1,0,0,0,-1,0,4.09,1.67,2018
119,Dansby Swanson\swansda01,24,ATL,NL,136,132,125,1165.2,525,165,350,10,77,0.981,6,6,6,0,9,9,8,0,1,0,5,3,3.98,3.79,2018
120,Chris Taylor\tayloch03,27,LAD,NL,81,73,70,671.1,302,95,197,10,28,0.967,6,10,8,-2,6,11,7,-1,0,2,2,4,3.91,3.6,2018
121,Kelby Tomlinson\tomlike01,28,SFG,NL,13,7,4,77,43,15,28,0,8,1,1,16,1,0,2,31,2,0,0,-1,2,1,5.03,3.31,2018
